GAME_ID,GAME_DATE,TEAM_ID,PTS
1022400215,2024-09-11,1611661319,86
1022400217,2024-09-11,1611661328,90
1022400216,2024-09-11,1611661329,58
1022400217,2024-09-11,1611661320,82
1022400215,2024-09-11,1611661325,75
1022400216,2024-09-11,1611661322,89
1022400213,2024-09-10,1611661321,91
1022400214,2024-09-10,1611661323,86
1022400213,2024-09-10,1611661313,105
1022400214,2024-09-10,1611661320,66
1022400212,2024-09-10,1611661330,64
1022400212,2024-09-10,1611661324,76
1022400210,2024-09-08,1611661329,92
1022400211,2024-09-08,1611661320,67
1022400209,2024-09-08,1611661313,75
1022400207,2024-09-08,1611661322,71
1022400208,2024-09-08,1611661325,104
1022400208,2024-09-08,1611661330,100
1022400211,2024-09-08,1611661323,79
1022400210,2024-09-08,1611661321,77
1022400209,2024-09-08,1611661319,71
1022400207,2024-09-08,1611661324,78
1022400206,2024-09-07,1611661317,66
1022400206,2024-09-07,1611661328,90
1022400203,2024-09-06,1611661323,67
1022400204,2024-09-06,1611661325,88
1022400205,2024-09-06,1611661329,92
1022400204,2024-09-06,1611661324,99
1022400203,2024-09-06,1611661319,72
1022400202,2024-09-06,1611661321,96
1022400205,2024-09-06,1611661320,78
1022400202,2024-09-06,1611661330,107
1022400200,2024-09-05,1611661328,70
1022400200,2024-09-05,1611661313,77
1022400201,2024-09-05,1611661317,77
1022400201,2024-09-05,1611661322,90
1022400199,2024-09-04,1611661320,86
1022400199,2024-09-04,1611661325,93
1022400196,2024-09-03,1611661321,86
1022400195,2024-09-03,1611661328,71
1022400198,2024-09-03,1611661317,74
1022400198,2024-09-03,1611661330,66
1022400195,2024-09-03,1611661323,64
1022400196,2024-09-03,1611661322,90
1022400197,2024-09-03,1611661329,71
1022400197,2024-09-03,1611661319,90
1022400194,2024-09-01,1611661319,97
1022400192,2024-09-01,1611661325,100
1022400193,2024-09-01,1611661330,80
1022400193,2024-09-01,1611661320,62
1022400190,2024-09-01,1611661323,93
1022400191,2024-09-01,1611661329,74
1022400190,2024-09-01,1611661328,86
1022400194,2024-09-01,1611661317,79
1022400192,2024-09-01,1611661321,93
1022400191,2024-09-01,1611661324,79
1022400189,2024-08-31,1611661322,85
1022400189,2024-08-31,1611661323,96
1022400187,2024-08-30,1611661330,72
1022400188,2024-08-30,1611661328,85
1022400185,2024-08-30,1611661329,81
1022400185,2024-08-30,1611661325,100
1022400188,2024-08-30,1611661313,98
1022400186,2024-08-30,1611661321,94
1022400187,2024-08-30,1611661319,83
1022400186,2024-08-30,1611661324,76
1022400184,2024-08-28,1611661330,81
1022400182,2024-08-28,1611661313,88
1022400181,2024-08-28,1611661322,74
1022400182,2024-08-28,1611661320,94
1022400183,2024-08-28,1611661324,89
1022400181,2024-08-28,1611661329,70
1022400180,2024-08-28,1611661323,80
1022400184,2024-08-28,1611661328,85
1022400183,2024-08-28,1611661317,76
1022400180,2024-08-28,1611661325,84
1022400179,2024-08-27,1611661319,90
1022400179,2024-08-27,1611661321,93
1022400178,2024-08-26,1611661322,74
1022400178,2024-08-26,1611661328,72
1022400176,2024-08-26,1611661330,79
1022400177,2024-08-26,1611661317,70
1022400176,2024-08-26,1611661325,84
1022400177,2024-08-26,1611661313,84
1022400174,2024-08-25,1611661319,77
1022400174,2024-08-25,1611661329,75
1022400175,2024-08-25,1611661320,110
1022400175,2024-08-25,1611661321,113
1022400172,2024-08-24,1611661313,64
1022400172,2024-08-24,1611661323,72
1022400173,2024-08-24,1611661325,80
1022400173,2024-08-24,1611661324,90
1022400168,2024-08-23,1611661317,82
1022400170,2024-08-23,1611661322,80
1022400171,2024-08-23,1611661319,74
1022400171,2024-08-23,1611661324,87
1022400169,2024-08-23,1611661329,80
1022400169,2024-08-23,1611661323,82
1022400170,2024-08-23,1611661320,74
1022400168,2024-08-23,1611661330,80
